analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,model_id,region,climatezone,age
spatial_events,model,climate,signed,0.633,0.72,0.8791666666666668,1,0.8791666666666668,0,analysis=spatial_events|dataset_id=1844|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0865,0.72,0.12013888888888888,1,0.12013888888888888,0,analysis=spatial_events|dataset_id=1844|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.2703,0.55,0.49145454545454537,1,0.49145454545454537,0,analysis=spatial_events|dataset_id=1897|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
spatial_events,model,human,signed,0.2795,0.55,0.5081818181818182,1,0.5081818181818182,0,analysis=spatial_events|dataset_id=1897|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.053900000000000003,0.132,0.4083333333333333,1,0.4083333333333333,0,analysis=spatial_events|dataset_id=20223|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0778,0.132,0.5893939393939394,1,0.5893939393939394,0,analysis=spatial_events|dataset_id=20223|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.1767,0.225,0.7853333333333333,1,0.7853333333333333,0,analysis=spatial_events|dataset_id=203|region=North America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,human,signed,0.0484,0.225,0.2151111111111111,1,0.2151111111111111,0,analysis=spatial_events|dataset_id=203|region=North America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,climate,signed,0.1538,0.27,0.5696296296296296,1,0.5696296296296296,0,analysis=spatial_events|dataset_id=21580|region=Latin America|climatezone=Tropical,NA,NA,NA
spatial_events,model,human,signed,0.1167,0.27,0.4322222222222222,1,0.4322222222222222,0,analysis=spatial_events|dataset_id=21580|region=Latin America|climatezone=Tropical,NA,NA,NA
