analysis,region,climatezone,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
spatial_spd,Latin America,Tropical,20,15,15,6.288,0.4192,0.8949,0.05966,3.4917,0.23278,1.9024,0.12682666666666667,8.712,0.5808,6.288,0.4192,1.052646140316152,0.07017640935441014,3.356204550517743,0.2237469700345162,1.8791493091661051,0.12527662061107367,8.712,0.5808
spatial_spd,North America,Arid,17,17,17,4.318,0.254,1.2603,0.07413529411764706,2.5236,0.1484470588235294,0.5351,0.03147647058823529,12.682,0.746,4.34,0.25529411764705884,1.0776510660511633,0.0633912391794802,2.2943689254535924,0.13496287796785839,0.9679800084952443,0.056940000499720256,12.66,0.7447058823529412
spatial_spd,North America,Cold_Dry_Summer,50,49,49,16.537,0.33748979591836736,3.2438000000000002,0.0662,10.0224,0.20453877551020408,3.2693,0.0667204081632653,32.463,0.6625102040816326,16.687,0.34055102040816326,3.6171643236461617,0.07381968007441146,9.617011930660796,0.19626554960532236,3.452823745693043,0.07046579072842944,32.313,0.6594489795918367
spatial_spd,North America,Cold_Without_dry_season_Cold_Summer,142,139,139,51.172,0.3681438848920863,5.1391,0.03697194244604317,35.8938,0.2582287769784173,10.1388,0.07294100719424461,87.828,0.6318561151079136,51.556,0.3709064748201439,6.05664374432417,0.04357297657787172,34.53405426309729,0.2484464335474625,10.965301992578544,0.07888706469480966,87.444,0.6290935251798561
spatial_spd,North America,Cold_Without_dry_season_Hot_Summer,53,53,53,19.405,0.3661320754716981,2.0986000000000002,0.03959622641509434,10.7814,0.20342264150943395,6.528,0.12316981132075472,33.595,0.6338679245283019,19.405,0.3661320754716981,2.534907395296283,0.047828441420684584,10.215717962355628,0.19274939551614392,6.65437464234809,0.12555423853486963,33.595,0.6338679245283019
spatial_spd,North America,Cold_Without_dry_season_Warm_Summer,195,195,195,80.13,0.41092307692307695,9.957,0.051061538461538464,42.5242,0.2180728205128205,27.6492,0.14179076923076922,114.87,0.589076923076923,80.14,0.41097435897435897,11.073269989121798,0.05678599994421434,41.174723735194895,0.21115242941125587,27.892006275683308,0.14303592961888875,114.86,0.589025641025641
spatial_spd,North America,Polar,38,37,37,12.329,0.3332162162162162,0.6744,0.018227027027027026,9.7518,0.26356216216216216,1.9057,0.05150540540540541,24.671,0.6667837837837838,12.4,0.33513513513513515,0.9748723866430739,0.0263479023417047,9.19353537929968,0.24847392917026165,2.2315922340572456,0.06031330362316881,24.6,0.6648648648648648
spatial_spd,North America,Temperate_Dry_Summer,17,17,17,4.481,0.2635882352941176,1.2287000000000001,0.07227647058823529,2.7712,0.16301176470588236,0.47919999999999996,0.028188235294117646,12.519,0.7364117647058823,4.484,0.26376470588235296,1.0453264787013987,0.061489792864788166,2.688250413595284,0.15813237727031082,0.7504231077033175,0.04414253574725397,12.516,0.7362352941176471
spatial_spd,North America,Temperate_Without_dry_season,41,39,39,12.519,0.321,2.9518,0.07568717948717948,5.7302,0.14692820512820512,3.8369,0.09838205128205128,26.481,0.679,12.539,0.3215128205128205,2.6935866975042866,0.06906632557703299,5.677164372404003,0.1455683172411283,4.1682489300917105,0.10687817769465924,26.461,0.6784871794871795
spatial_spd,North America,Tropical,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
