summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region
continent,zero_allocation_human,spd_events_minus_spd,as_coded,14,14,-0.030076022711652942,5.95776447449646e-4,0.01704531691019815,0.023378504048819502,0.03974135257077728,0.09444580780617877,3,1,10,Latin America
continent,zero_allocation_human,spd_events_minus_spd,observed_events_only,14,14,-0.030076022711652942,5.95776447449646e-4,0.01704531691019815,0.023378504048819502,0.03974135257077728,0.09444580780617877,3,1,10,Latin America
continent,controlled_balance,events_minus_spd,as_coded,14,14,-0.010599999999999991,-0.005049999999999999,-0.0014000000000000054,-0.0016285714285714287,0.0020250000000000008,0.005799999999999993,8,0,6,North America
continent,controlled_balance,events_minus_spd,observed_events_only,14,14,-0.010599999999999998,-0.00515,-0.0030499999999999937,-0.002678571428571427,1.749999999999998e-4,0.0058999999999999955,9,0,5,North America
continent,controlled_balance,spd_events_minus_spd,as_coded,14,14,-0.0023000000000000034,0.0030000000000000027,0.007100000000000002,0.005942857142857143,0.009325000000000002,0.010899999999999993,1,0,13,North America
continent,controlled_balance,spd_events_minus_spd,observed_events_only,14,14,8.99999999999998e-4,0.003400000000000002,0.005249999999999998,0.005607142857142858,0.007900000000000004,0.010500000000000002,0,0,14,North America
continent,controlled_climate,events_minus_spd,as_coded,14,14,-0.0046,-0.0018999999999999954,-0.0011499999999999982,-0.00125,-2.5000000000000196e-4,0.0010000000000000009,11,0,3,North America
continent,controlled_climate,events_minus_spd,observed_events_only,14,14,-0.0025000000000000022,-0.001100000000000002,-9.499999999999995e-4,-7.428571428571433e-4,-3.2500000000000237e-4,8.99999999999998e-4,12,0,2,North America
continent,controlled_climate,spd_events_minus_spd,as_coded,14,14,-0.004199999999999995,-0.002,-0.0014999999999999979,-0.0011285714285714282,-7.250000000000052e-4,0.0063,13,0,1,North America
continent,controlled_climate,spd_events_minus_spd,observed_events_only,14,14,-0.0025000000000000022,-0.0015749999999999983,-8.99999999999998e-4,-0.001157142857142858,-8.000000000000021e-4,-3.0000000000000165e-4,14,0,0,North America
continent,controlled_human,events_minus_spd,as_coded,14,14,-0.010499999999999999,-0.0067,-0.00145,-0.0028785714285714287,4.500000000000004e-4,0.0045,10,0,4,North America
continent,controlled_human,events_minus_spd,observed_events_only,14,14,-0.0107,-0.00715,-0.003,-0.0034214285714285714,3.2499999999999955e-4,0.0046,10,0,4,North America
continent,controlled_human,spd_events_minus_spd,as_coded,14,14,4.0000000000000105e-4,0.002725,0.0051,0.0048142857142857145,0.006775,0.008700000000000001,0,0,14,North America
continent,controlled_human,spd_events_minus_spd,observed_events_only,14,14,5.000000000000004e-4,0.0024249999999999996,0.004399999999999999,0.00445,0.006724999999999998,0.0087,0,0,14,North America
continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,14,14,-0.007688929634975583,-0.0021786429671785956,-7.397064802500131e-4,-0.0012198149213775075,3.447118100239066e-4,0.003324614490768485,10,0,4,North America
continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,14,14,-0.002352580026620088,-0.001175666556894689,-8.22333620959681e-4,-2.0125462733278088e-4,-5.7312087814981316e-5,0.003753471424287169,10,0,4,North America
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,14,14,-0.00600547201243784,-0.0017245783467025044,-5.83303077548003e-4,-2.827387377866697e-4,2.4038634902551204e-5,0.013914548796429727,10,0,4,North America
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,14,14,-0.0035941502534048153,-9.694848946830703e-4,-3.0832179084128164e-4,-5.542465306291004e-4,-2.1880050583039656e-5,8.588510549141226e-4,11,0,3,North America
continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,14,14,-0.010059658842179298,-0.008397278342960834,-0.0025886253758941047,-0.00340453032333413,9.727424498031934e-4,0.0031865744568344567,8,0,6,North America
continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,14,14,-0.010880338850468019,-0.00958371533710331,-0.004276314602744968,-0.0044851199951208166,3.8824541939366797e-4,0.0032001231243562467,10,0,4,North America
