radius_km,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained
250,Asia,2000,spatial_model_estimated,selected,-0.06860000000000001,-0.0015,0.0707,-0.0722,climate,climate,0,0.6369369369369369,0.3630630630630631,-0.003019216456708107,0.07279181078919372,0.04334613863571579,-0.003605836774439375,0.10951289619376203,0.890487103806238
250,Asia,2500,spatial_model_estimated,selected,-0.079,0.004,0.0841,-0.08009999999999999,climate,climate,0.031496062992125984,0.6622047244094488,0.3062992125984252,0.0027674275790755543,0.08421492189767155,0.04343811494188887,-0.003391017964099574,0.1270294464545364,0.8729705535454636
250,Asia,3000,spatial_model_estimated,selected,-0.0828,-0.0014,0.0791,-0.0805,climate,climate,0,0.681309216192937,0.31869078380706284,-0.0022729901832931887,0.07602606545726831,0.035271396626189055,0.005666633741572502,0.11469110564173668,0.8853088943582633
250,Asia,3500,no_spatial_terms_selected,no_terms_selected,-0.0703,0.0141,0.0844,-0.0703,climate,climate,0.1431472081218274,0.8568527918781725,0,0.008175470405392793,0.07849410409127444,0,0.011778116443237896,0.09844769093990513,0.9015523090600949
250,Asia,4000,no_spatial_terms_selected,no_terms_selected,-0.0647,0.0045,0.0692,-0.0647,climate,climate,0.061058344640434185,0.9389416553595658,0,0.0019514829283378,0.06662536249650397,0,0.005106285391899834,0.0736831308167416,0.9263168691832584
250,Asia,4500,spatial_model_estimated,selected,-0.0576,0.0167,0.0771,-0.0604,climate,climate,0.12767584097859327,0.5894495412844036,0.28287461773700306,0.006574945031482815,0.06966108438974417,0.03802308554573863,0.016609541463422306,0.13086865643038792,0.8691313435696121
250,Asia,5000,spatial_model_estimated,selected,-0.0729,0.0049,0.0773,-0.07239999999999999,climate,climate,0.04875621890547264,0.7691542288557214,0.182089552238806,0.0013150296847954657,0.07311405544929694,0.02071248758449218,0.0052978894244744,0.10043946214305899,0.899560537856941
250,Asia,5500,spatial_model_estimated,selected,-0.0859,0.0026,0.0895,-0.08689999999999999,climate,climate,0.020933977455716585,0.7206119162640902,0.2584541062801932,-0.002552517303944235,0.08536997635841159,0.03276717375080862,0.008663157684355438,0.12424779048963142,0.8757522095103686
250,Asia,6000,no_spatial_terms_selected,no_terms_selected,-0.07730000000000001,0.0135,0.0908,-0.07730000000000001,climate,climate,0.12943432406519653,0.8705656759348035,0,0.0075426888606211495,0.0848926831481509,0,0.011842948007788956,0.10427832001656101,0.895721679983439
250,Asia,6500,no_spatial_terms_selected,no_spatial_signal,-0.1008,0.0045,0.1053,-0.1008,climate,climate,0.040983606557377046,0.9590163934426229,0,0.001182921575610174,0.10205895513237428,0,0.006544856420362843,0.1097867331283473,0.8902132668716527
250,Asia,7000,no_spatial_terms_selected,no_spatial_signal,-0.1051,0.0069,0.112,-0.1051,climate,climate,0.05803195962994112,0.9419680403700589,0,2.612742277211533e-4,0.10533079740104467,0,0.013288441950652707,0.11888051357941853,0.8811194864205815
250,Asia,7500,no_spatial_terms_selected,no_spatial_signal,-0.1048,0.0194,0.1242,-0.1048,climate,climate,0.13509749303621169,0.8649025069637883,0,0.004612394151463972,0.1094027798219015,0,0.029620750986937616,0.14363592496030309,0.8563640750396969
250,Asia,8000,spatial_model_estimated,selected,-0.1546,0.0014,0.1515,-0.15009999999999998,climate,climate,0.008022922636103153,0.8681948424068768,0.12378223495702007,-0.002107551871330937,0.1435385777820598,0.01959618397438423,0.013527759843577347,0.17455496972869045,0.8254450302713096
250,Asia,8500,spatial_model_estimated,selected,-0.1621,-0.0016,0.1666,-0.1682,climate,climate,0,0.9317673378076063,0.06823266219239374,-0.002090163325730421,0.17220119749424057,0.018448406003047868,-0.011392764100616515,0.1771666760709415,0.8228333239290585
250,Oceania,6500,no_spatial_terms_selected,no_spatial_signal,-0.09899999999999999,-0.0124,0.0866,-0.09899999999999999,climate,climate,0,1,0,-0.014284128788675687,0.0847416137721142,0,0.003720876068200374,0.07417836105163889,0.9258216389483611
250,Oceania,8000,no_spatial_terms_selected,no_terms_selected,-0.058499999999999996,8e-4,0.0593,-0.058499999999999996,climate,climate,0.013311148086522463,0.9866888519134775,0,-0.0014825173685475423,0.05701414757543877,0,0.004472624516250301,0.060004254723141526,0.9399957452768585
250,Oceania,8500,spatial_model_estimated,selected,-0.06649999999999999,-0.001,0.056,-0.057,climate,climate,0,0.5189990732159407,0.48100092678405937,-0.008040047758109958,0.039318414751736586,0.0380706989552162,0.03746612946278116,0.10681519541162399,0.893184804588376
500,Europe,2000,spatial_model_estimated,selected,-0.09359999999999999,0.0129,0.0775,-0.0646,climate,climate,0.06725755995828989,0.4040667361835245,0.5286757038581856,0.02114062581405196,0.05671584945221475,0.08728912167510672,0.026680686873945647,0.19182628381531908,0.8081737161846809
500,Europe,2500,spatial_model_estimated,selected,-0.07529999999999999,0.0086,0.0606,-0.052000000000000005,climate,climate,0.04968226458694396,0.35008665511265163,0.6002310803004044,0.01465360545092631,0.04337082413121052,0.08808793285927075,0.027081656171325075,0.17319401861273265,0.8268059813872674
500,Europe,3000,spatial_model_estimated,selected,-0.0455,0.0108,0.048,-0.0372,climate,climate,0.07531380753138076,0.33472803347280333,0.5899581589958158,0.006941495054836211,0.035728749843408014,0.08040602174012668,0.020359178467910577,0.14343544510628148,0.8565645548937185
500,Europe,3500,spatial_model_estimated,selected,-0.042,0.0115,0.0559,-0.044399999999999995,climate,climate,0.06482525366403608,0.3151071025930101,0.6200676437429538,0.0013082721476528336,0.047973895108757936,0.11211880636026117,0.015990518898497563,0.1773914925151695,0.8226085074848305
500,Europe,4000,spatial_model_estimated,selected,-0.054599999999999996,0.0202,0.0567,-0.036500000000000005,climate,climate,0.10509885535900103,0.29500520291363164,0.5998959417273673,0.016872044272492448,0.03523663180484249,0.11208581889648139,0.027946680118281386,0.19214117509209772,0.8078588249079023
500,Europe,4500,spatial_model_estimated,selected,-0.0601,0.024,0.0605,-0.0365,climate,climate,0.1234567901234568,0.31121399176954734,0.5653292181069959,0.024025081257586622,0.036962091514785356,0.10560472387613162,0.02786533568173577,0.19445723233023937,0.8055427676697606
